Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
208333108	The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns	5	Bogle, John C.	Author			Wiley (2007), 216 pages	2007		3			The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns by John C. Bogle (2007)	Hardcover	216 p.; 7.1 inches	0.59965735264 pounds	7.098411 inches	1.098423 inches	5.299202 inches	7.098411 x 5.299202 x 1.098423 inches	216 				[2021-09-03]			nonfiction	Read but unowned	English	English	HG4530 .B635	[0470102101]	0470102101, 9780470102107	Index mutual funds	332.6327	Economics > Finance > Funds > Investing > Personal Investing > Social Sciences > Types Of Investments And Other Topics		1	amazon.com books	[2021-11-11]			2717413				
208333109	Black-and-White Thinking: The Burden of a Binary Brain in a Complex World	1	Dutton, Kevin	Author			Farrar, Straus and Giroux (2021), 400 pages	2021		3			Black-and-White Thinking: The Burden of a Binary Brain in a Complex World by Kevin Dutton (2021)	Hardcover	400 p.; 9.32 inches	1.3 pounds	9.3200601 inches	1.38 inches	6.3598298 inches	9.3200601 x 6.3598298 x 1.38 inches	400 				[2021-08-23]			nonfiction	Read but unowned	English	English	BF445 .D67	[0374110344]	0374110344, 9780374110345		150.19	Philosophy and Psychology > Psychology > Psychology > Systems, schools, viewpoints > Theory And Instruction		1	amazon.com books	[2021-11-11]			25497873				
208333110	How to Future: Leading and Sense-making in an Age of Hyperchange (Kogan Page Inspire)	1	Smith, Scott	Author	Ashby, Madeline	Author	Kogan Page (2020), Edition: 1, 248 pages	2020		2			How to Future: Leading and Sense-making in an Age of Hyperchange (Kogan Page Inspire) by Scott Smith (2020)	Paperback	240 p.; 8.5 inches	0.6944561253 pounds	8.50392 inches	0.59055 inches	5.5118 inches	8.50392 x 5.5118 x 0.59055 inches	240 				[2021-08-26]			nonfiction	Did Not Finish	English	English	HD30.28 .S576	[1789664705]	1789664705, 9781789664706		658.4	Executive > Management > Management and auxiliary services > Technology and Application of Knowledge		1	amazon.com books	[2021-11-11]			25478942				
208333111	The Accidental Creative: How to Be Brilliant at a Moment's Notice	5	Henry, Todd	Author			Portfolio (2011), 240 pages	2011		3			The Accidental Creative: How to Be Brilliant at a Moment's Notice by Todd Henry (2011)	Hardcover	230 p.						230 				[2021-09-08]			nonfiction	Read but unowned	English	English	HD53 .H46	[9781591844013]	9781591844013, 1591844010		650.1	Business > Management and auxiliary services > Personal success in business > Technology and Application of Knowledge		1	amazon.com books	[2021-11-11]			11264976				
208333112	The Art of Impossible: A Peak Performance Primer	5	Kotler, Steven	Author			Harper Wave (2021), 336 pages	2021					The Art of Impossible: A Peak Performance Primer by Steven Kotler (2021)	Ebook	336 p.						336 				[2021-08-20]			nonfiction	Read but unowned	English		BF505.G6 K68	[]			650.1	Business > Management and auxiliary services > Personal success in business > Technology and Application of Knowledge		1	amazon.com books	[2021-11-11]			25980211				
208333113	Abundance: The Future Is Better Than You Think (Exponential Technology Series)	1	Diamandis, Peter H.	Author	Kotler, Steven	Author	Free Press (2012), 400 pages	2012		2			Abundance: The Future Is Better Than You Think (Exponential Technology Series) by Peter H. Diamandis (2012)	Hardcover	400 p.; 9 inches	1.23679328982 pounds	9 inches	1.3 inches	6 inches	9 x 6 x 1.3 inches	400 				[2021-08-27]				Read but unowned	English	English	T173 .D536	[1451614217]	1451614217, 9781451614213		303.48	Causes of change > Social Processes > Social Sciences > Social Sciences > Social change		1	amazon.com books	[2021-11-11]			12096759				
208333114	The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph	5	Holiday, Ryan	Author			Portfolio (2014), Edition: 1, 224 pages	2014		2			The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph by Ryan Holiday (2014)	Hardcover	201 p.; 7.3 inches	0.6 pounds	7.3 inches	0.9 inches	5.4 inches	7.3 x 5.4 x 0.9 inches	201 				[2021-08-31]			nonfiction	Read but unowned	English	English	BF503 .H65	[1591846358]	1591846358, 9781591846352		158	Applied Psychology > Philosophy and Psychology > Psychology		1	amazon.com books	[2021-11-11]			14768458				
208333115	Choose Yourself!	1	Altucher, James	Author			Lioncrest Publishing (2013), Edition: As, 270 pages	2013		3			Choose Yourself! by James Altucher (2013)	Hardcover	276 p.; 9.31 inches	1.05 pounds	9.31 inches	0.94 inches	6.31 inches	9.31 x 6.31 x 0.94 inches	276 				[2021-09-15]			nonfiction	Read but unowned	English	English	BF637.S4 A588	[9781619610224]	9781619610224, 1619610221		158.1	Applied Psychology > Personal improvement and analysis > Philosophy and Psychology > Psychology		1	amazon.com books	[2021-11-11]			13926476				
208333116	One Decision: The First Step to a Better Life	1	Bayer, Mike	Author			Penguin Life (2020), 304 pages	2020		3			One Decision: The First Step to a Better Life by Mike Bayer (2020)	Hardcover	304 p.; 9.3 inches	1.087 pounds	9.3 inches	1.1 inches	6.2 inches	9.3 x 6.2 x 1.1 inches	304 				[2021-08-24]				Read but unowned	English	English	B3573	[059329601X]	059329601X, 9780593296011		153.8	Cognition And Memory > Decision Making And Persuasion > Philosophy and Psychology > Psychology		1	amazon.com books	[2021-11-11]			25124468				
208333117	Kaizen: The Japanese Method for Transforming Habits, One Small Step at a Time	1	Harvey, Sarah	Author			Bluebird (2019), Edition: Main Market, 272 pages	2019		3			Kaizen: The Japanese Method for Transforming Habits, One Small Step at a Time by Sarah Harvey (2019)	Hardcover	272 p.; 7.28 inches		7.28345 inches	1.10236 inches	5.1181 inches	7.28345 x 5.1181 x 1.10236 inches	272 				[2021-09-01]			nonfiction	Read but unowned	English	English		[1529005353]	1529005353, 9781529005356		152.33	Emotions And Senses > Motor Functions > Motor Habits and Their Formation (Handedness, Etc.) > Philosophy and Psychology > Psychology		1	amazon.com books	[2021-11-11]			23784606				
